STT	Tr¶ lêi	C©u Hái		B	C	D
511	A	Con khØ giã lµ con g×? 	Con Culi	KhØ vµng	Con khØ ®ét	Con v­în
512	A	TØnh nµo sau ®©y kh«ng gi¸p biÓn?	Gia Lai	Kh¸nh Hßa	Cµ Mau	Qu¶ng TrÞ
513	A	§iÒn vµo c©u sau: "NhÊt Nam viÕt h÷u, ... N÷ viÕt v«"?	ThËp	NhÞ	Lôc	ThÊt
514	A	§éi tuyÓn Nam vµ ®éi tuyÓn N÷ n­íc nµo ®Òu tõng v« ®Þch WorldCup?	§øc	Ph¸p	Brazil	Italia
515	A	TØnh nµo cã nhiÒu quËn, huyÖn nhÊt c¶ n­íc?	Thanh Hãa	Gia Lai	Cµ Mau	Qu¶ng B×nh
516	A	CÇu thñ ngoµi ch©u ¢u ®Çu tiªn ®o¹t Qu¶ Bãng Vµng ch©u ¢U?	G.Weah	Shevchenko	Romaldo	R. Carlos
517	A	Mét d·y nhiÒu sinh vËt cã quan hÖ dinh d­ìng víi nhau gäi lµ g×?	Chuçi thøc ¨n	Chuçi sinh vËt	L­íi Thøc ¨n	L­íi sinh vËt
518	A	N¨m 2004, bøc t­îng Davis cña Michellangelo trßn bao nhiªu tuæi?	500	300	400	600
519	A	Sau khi tan r·, Liªn x« t¸ch thµnh bao nhiªu quèc gia?	15 quèc gia	5 quèc gia	10 quèc gia	20 quèc gia
520	A	Ng­êi n­íc nµo ph¸t minh ra diªm?	Thôy §iÓn	BØ	¸o	Nga
521	A	ChuyÖn t×nh cña Romeo & Juliette x¶y ra t¹i thµnh phè nµo cña Italia?	Verona	Florence	Rome	Venice
522	A	V­¬ng quèc Ba T­ ngµy x­a lµ quèc gia nµo ngµy nay?	Iraq	Iran	Kuwait	Qatar
523	A	Ng­êi ®Çu tiªn ®Æt ch©n ®Õn Nam cùc lµ ng­êi n­íc nµo?	Na Uy	Nam Phi	MÜ	Canada
524	A	Thµnh phè cã mËt ®é d©n sè cao nhÊt thÕ giíi lµ?	Mexico city	Tokyo	Th­îng H¶i	Hång K«ng
525	A	N­íc nµo sau ®©y kh«ng thuéc liªn hiÖp V­¬ng quèc Anh?	Céng hßa Ireland	Anh	Scotland	Wales
526	A	Viking lµ tõ dïng ®Ó ¸m chØ Quèc gia nµo?	Na Uy	PhÇn Lan	§an M¹ch	Iceland
527	A	Quèc gia nµo sau ®©y ch­a tõng ph¶i dêi thñ ®« tõ n¬i nµy sang n¬i kh¸c?	Thôy §iÓn	Myanmar	Thæ NhÜ K×	NhËt B¶n
528	A	Ng«n ng÷ lËp tr×nh nµo lµ ng«n ng÷ lËp tr×nh ®Çu tiªn?	Fortran	 Visual Basic	C	Pascal
529	A	§¬n vÞ ®o dung l­îng bé nhí nµo lín nhÊt trong c¸c ®¬n vÞ sau ®©y?	Tb	Kb	Mb	Gb
530	A	§a sè trÎ em ®­îc sinh ra tù nhiªn th­êng vµo kho¶ng thêi gian nµo trong ngµy?	Nöa ®ªm vÒ s¸ng	Buæi s¸ng sím	Buæi tr­a	Buæi chiÒu tèi
531	A	Nhµ to¸n häc Turing lµ ng­êi n­íc nµo?	T©y Ban Nha	Anh	Ph¸p	Italia
532	A	Liªn ®oµn bãng ®¸ ch©u ¸ (AFC) ra ®êi t¹i quèc gia nµo?	Philipines	Ên §é	Mailaisia	NhËt B¶n
533	A	Loµi nµo cã sè l­îng NhiÔm s¾c thÓ lín nhÊt trong c¸c loµi sau?	Gi¸p x¸c	Giun trßn	Ruåi giÊm	Chuét nhµ
534	A	Hoµng ®Õ nµo sèng l©u nhÊt ë Trung Quèc	Cµn Long	TÇn Thñy Hoµng	Phæ Nghi	Khang Hy
535	A	Trong c¸c chÊt sau ®©y, chÊt nµo cã nhiÖt ®é s«i cao nhÊt? 	n-Amyl axetat	Propionic	n-Amylic	n-Valeric
536	A	Quèc gia nµo tr¶i dµi trªn nhiÒu vÜ tuyÕn nhÊt?	Chile	Nga	Argentina	Thôy §iÓn
537	A	Bé NhiÔm s¾c thÓ giíi tÝnh cña ng­êi bÞ bÖnh T¬cn¬ lµ g×?	OX	XXY	XXX	OY
538	A	Con vËt g× ®· gióp nhµ b¸c häc Vonta ph¸t minh ra pin? 	Con muçi	Con ruåi	Con gµ	Con chã
539	A	Kinh tuyÕn 0 ®é vµ vÜ tuyÕn 0 ®é giao nhau ë ch©u lôc nµo?	Ch©u Phi	Ch©u ¸	Ch©u ¢u	Ch©u Mü
540	A	N­íc CHDCND Trung Hoa hiÖn nay cã bao nhiªu d©n téc?	56	46	66	76
541	A	Ai ®· nãi: "Ng«n ng÷ lµ yÕu tè ®Çu tiªn cña v¨n häc"?	M. Gorki	Lªnin	B¸c Hå	Puskin
542	A	¸nh s¸ng mÆt trêi ph¶n x¹ tõ Thiªn v­¬ng tinh cã mµu g×? 	Mµu xanh biÕc	Mµu vµng	Mµu ®á	Mµu tÝm
543	A	Chßm sao nµo cã h×nh ch÷ c¸i W?	Thiªn HËu	B¾c §Èu	§¹i Hïng	Tr¸ng Sü
544	A	§¬n vÞ ®o tõ th«ng trong hÖ SI? 	Wb	H	T	A
545	A	LÔ héi tÐ n­íc ë Myanma diÔn ra vµo th¸ng mÊy trong n¨m?	Th¸ng 4	Th¸ng 1	Th¸ng 7	Th¸ng 9
546	A	Nghµnh c«ng nghiÖp s¶n xuÊt thñy tinh gäi lµ g×?	CN Silicat	CN Cabonat	CN Nitorat	CN Nano
547	A	C©y cÇu treo lín nhÊt thÕ giíi Acasi Caikio n»m ë quèc gia nµo? 	NhËt B¶n	Ph¸p	Australia	Mexico
548	A	Lo¹i m­a nµo sau ®©y ®­îc h×nh thµnh tõ nh÷ng trËn m­a trong kh«ng khÝ?	M­a tuyÕt	M­a rµo	M­a phïn	M­a ®¸
549	A	ChÊt nµo cã nhiÖt ®é nãng ch¶y cao nhÊt?	Vonfram	Graphit	Constantan	Duyra
550	A	1 ®¬n vÞ thiªn v¨n t­¬ng ®­¬ng víi kho¶ng bao nhiªu triÖu Km?	1	10	20	50
551	A	CÇu thñ ®eo b¨ng ®éi tr­ëng §T Anh nhiÒu nhÊt hiÖn giê lµ ai?	Billy Wright	Alan Sheare	Bobby Robson	David Beckham
552	A	Tõ WorldCup n¨m bao nhiªu ®éi ®­¬ng kim v« ®Þch ph¶i ®¸ vßng lo¹i? 	2006	1994	1998	2002
553	A	Loµi c«n trïng nµo cã tèc ®é bay nhanh nhÊt (58km-h)?	Chuån chuån	Ong	Ch©u chÊu	Ruåi
554	A	§¶o lín nhÊt cña Philippines, n¬i cã thñ ®« Manila, tªn lµ g×?	Luzon	Midanao	Visayas	Cebu
555	A	Charlemange lµ tªn thËt cña vÞ vua nµo?	Karl ®¹i dÕ	Alexander ®¹i ®Õ	Otto ®¹i ®Õ	Heirich ®Ö tø
556	A	TiÓu thuyÕt "Thêi xa v¾ng" cña t¸c gi¶ nµo?	Lª Lùu	NguyÔn Minh Ch©u	NguyÔn §×nh Thi	Huy T­ëng
557	A	Ai lµ ng­êi ph¸t hiÖn ra khÝ quyÓn trªn sao Kim?	Lomonosov	Kepler	Copernicus	Galileo
558	A	C©u l¹c bé nµo ®o¹t cóp C1 ®Çu tiªn? 	Real Madrid	Juventus	Barcelona	Bayer Munich
559	A	§éi bãng nµo cña n­íc Anh ®o¹t nhiÒu danh hiÖu v« ®Þch C1 nhÊt?	Liverpool	Manchester United	Chelsea	Arsenal
560	A	Trong g¹o løc chøa nhiÒu Vitamin g× nhÊt?	B1	A	B12	C
561	A	Lo¹i h×nh ©m nh¹c d©n gian cæ truyÒn VÝ dÆm lµ cña vïng nµo?	NghÖ TÜnh	B¾c Ninh	Hµ Néi	HuÕ
562	A	Linh Tõ Quèc MÉu lµ mÑ cña vÞ vua nµo n­íc ta?	Lý Chiªu Hoµng	Quang Trung	Hµm Nghi	B¶o §¹i
563	A	NguyÔn Trung Trùc quª ë ®©u?	Kiªn Giang	An Giang	CÇn Th¬	VÜnh Long
564	A	C«ng ty nµo lµ nhµ ph¸t minh kü thuËt in mùc kh«?	XEROX	EPSON	IBM	Microsoft
565	A	Nguyªn tè hãa häc cã nhiÒu thø 2 trong vò trô? 	He	N	O	H
566	A	Hy L¹p n»m trªn b¸n ®¶o nµo cña ch©u ¢u?	Balkan	Queensland	Butrida	Xcangdinavi
567	A	BiÖt danh Elephants lµ cña ®éi bãng ch©u Phi nµo?	Bê biÓn ngµ	Angola	Senegal	Ai cËp
568	A	Hµnh tinh nµo cã nhiÖt ®é trung b×nh cao nhÊt trong hÖ mÆt trêi?	Sao Kim	Sao Thñy	Sao Thiªn v­¬ng	Sao Háa
569	A	LÔ héi Canaval lµ lÔ héi næi tiÕng ë quèc gia nµo?	Brazil	Mexico	Ên ®é	Argentina
570	A	Luxembourg kh«ng ph¶i lµ thµnh viªn cña tæ chøc nµo sau ®©y? 	OPEC	FIFA	EU	Benelux
571	A	Quèc kú n­íc nµo gièng hÖt quèc kú Indonesia?	Monaco	Balan	Malta	M«ng cæ
572	A	Trªn tê 100USD cña MÜ cã in hinh vÞ tæng thèng nµo?	Franklin	Washington	Lincoln	Kennedy
573	A	N­íc nµo sau ®©y kh«ng thuéc nhãm G7?	Australia	Anh	Ph¸p	NhËt
574	A	§iÖu Flamengo xuÊt xø tõ vïng nµo cña T©y Ban Nha?	Andalucia	Galicia	Valencia	La Mancha
575	A	Loµi hoa nµo lµ biÓu t­îng cña Argentina?	G¹o	Cóc	§ç Quyªn	Hång
576	A	Häa sü nµo sau ®©y kh«ng ph¶i lµ ng­êi Ph¸p?	Marc Chagall	Paul Cezanne	Claude Monet	Edgar Degas
577	A	Khi míi thµnh lËp, ASEAN gåm bao nhiªu n­íc?	6	4	5	7
578	A	Kim Tù Th¸p mÆt trêi cßn cã tªn gäi kh¸c lµ g×? 	Teohihuacan	Tabasco	Tula	El Tajin
579	A	Thµnh phè nµo sau ®©y lµ thñ phñ cña tiÓu bang Queensland? 	Brisbane	Sydney	Melbourne	Adelaide
580	A	Bøc t­îng cËu bÐ ®øng "tÌ", biÓu t­îng cña n­íc BØ, cã tªn riªng lµ g×?	Manneken Pis	Wallonia	Sambre Meuse	Passendale
581	A	Thµnh phè nµo cña Lµo cã d©n sè cao nhÊt?	Savannakhet	Pakse	Xiang Khoang	Saravan
582	A	H­¬ng vÞ chÝnh trong c¸c mãn ¨n cña Th¸i Lan lµ g×?	Cay	MÆn	Ngät	Chua
583	A	§¬n vÞ tiÒn tÖ cò cña Hy L¹p lµ g×? 	Drachma	Lev	Krona	Escudo
584	A	Ng«n ng÷ chÝnh thøc cña Pakistan lµ g×?	Urdur	Dari	Pushtu	Kurd
585	A	Thµnh phè nµo cña Afghanistan cã nÒn kinh tÕ ph¸t triÓn nhÊt?	Kandahar	Kabul	Ghaza	Herat
586	A	Bukit Timah lµ ngän nói cao nhÊt cña Quèc gia nµo?	Singapore	Malaysia	Indonesia	Philippines
587	A	Quèc k× cña George xuÊt hiÖn ®Çu tiªn vµo n¨m nµo?	1917	1880	1945	1972
588	A	N­íc nµo cã nhiÒu lÔ héi nhÊt trªn thÕ giíi, trung b×nh 3 ngµy 1 lÔ héi?	Colombia	Brazil	Urugoay	Hy L¹p
589	A	Sö thi §am San cña d©n téc nµo?	£ ®ª	Th¸i	Giarai	Bana
590	A	Bµi th¬ "¤ng ®å" cña Vò §×nh Liªn lÇn ®Çu xuÊt hiÖn trªn b¸o nµo? 	Tinh hoa	Phong hãa	Phô n÷	Ngµy nay
591	A	Ai lµ t¸c gi¶ cña tiÓu thuyÕt "MÆt trêi vÉn mäc"? 	Miller Hemingway	Toni Morrison	William Golding	Thomas Mann
592	A	§Þa danh nµo xuÊt hiÖn ®Çu tiªn trong bµi Tú Bµ Hµnh cña B¹ch C­ DÞ?	BÕn TÇm D­¬ng	Ch©n Ch©u c¶ng	Hoµng H¹c l©u	Th¨ng Long thµnh
593	A	3 mèi quan hÖ: vua t«i, cha con, vî chång ®­îc gäi lµ g×? 	Tam c­¬ng	Tam ®µn	Tam hÖ	Tam th­êng
594	A	Ai lµ ng­êi s¸ng t¸c kÞch nãi ®Çu tiªn cña Hµ Néi víi vë "ChÐn thuèc ®éc"?	Vò §×nh Long	Hoµng V¨n Thô	Lª H¶i TuyÕn	§oµn Ngäc ThuyÕt
595	A	Thêi gian ®Ó mÆt trêi quanh quanh t©m Thiªn Hµ cña chóng ta?	225 triÖu n¨m	225 ngµn n¨m	225 v¹n n¨m	225 tØ n¨m
596	A	Mét ngµy trªn sao Thñy dµi b»ng kho¶ng bao l©u trªn Tr¸i §Êt?	6 th¸ng	1 th¸ng	1 n¨m	6 n¨m
597	A	§¬n vÞ sinh th¸i nµo bao gåm tÊt c¶ c¸c nh©n tè v« sinh?	HÖ sinh th¸i	QuÇn x·	QuÇn The	Loµi
598	A	Napoleon Bonaparte sî nhÊt con vËt g×?	Con mÌo	Con r¾n	Con s©u	Con ruåi
599	A	M«n thÓ thao nµo ®em vÒ tÊm huy ch­¬ng ®Çu tiªn cho §oµn VN t¹i Seagame23?	QuÇn vît	§iÒn kinh	Nh¶y cao	ThÓ h×nh
600	A	Ai lµ t¸c gi¶ cña "Thñy Hö"?	Thi N¹i Am	La Qu¸n Trung	Ng« Thõa ¢n	Lª H¶i TuyÕn
601	A	Bµi h¸t "T×nh ca" cña Hoµng ViÖt nh¾c ®Õn mïa nµo trong n¨m? 	Xu©n	H¹	Thu	§«ng
602	A	C¸i nµo kh«ng ph¶i lµ 1 trong 3 ®Ønh cña tam gi¸c quû Bermuda?	§¶o Hawaii	§¶o Bermuda	§¶o PuertoRico	B¸n ®¶o Florida
603	A	ThuËt ng÷ Big Bang (vô næ lín) ®· ®­îc nhµ khoa häc nµo ®Ò xuÊt?	F.Hoyle	G.Lemantre	O.Klein	G.Gamow
604	A	Chïa Thiªn Mô do ai ®Æt tªn?	NguyÔn Hoµng	Lý Nam §Õ	Lý C«ng UÈn	Lª Lîi
605	A	ChÊt nµo sau ®©y cã kh¶ n¨ng cho ph¶n øng tr¸ng g­¬ng?	Glucozo	Glixerin	Axeton	Etilen Glicol
606	A	Ca sü ViÖt Nam nµo tham gia liªn hoan tiÕng h¸t ch©u ¸ lÇn thø 2?	Mü Linh	Lam Tr­êng	§an Tr­êng	Mü T©m
607	A	Ngoµi Nam Phi, trªn thÕ giíi cßn cã n­íc nµo cã nhiÒu h¬n 1 Thñ ®«?	Yemen	Kenya	Bolivia	Kazakhstan
608	A	Sau 1975, c¶ n­íc b¾t ®Çu sö dông chung mét lo¹i tiÒn tõ n¨m nµo?	1986	1985	1987	1988
609	A	C¸i g× lµ "bøc b×nh phong cña kinh thµnh HuÕ"?	Nói Ngù B×nh	Cöa Ngä M«n	S«ng H­¬ng	§Ìo H¶i V©n
610	A	Hµo khÝ §«ng A lµ tinh thÇn cña triÒu ®¹i nµo? 	Nhµ TrÇn	Nhµ NguyÔn	Nhµ Lý	Nhµ Hå
611	A	T¸c phÈm truyÖn ng¾n nµo ®· kÕt thóc b»ng c©u: "Tiªn s­ anh Tµo Th¸o"?	Sè §á	§«i M¾t	ChÝ PhÌo	ChÞ DËu
612	A	Líp mµng ngoµi cïng cña mµng n·o lµ g×?	Mµng cøng	ChÊt tr¾ng	Vá n·o	ChÊt x¸m
613	A	N­íc TriÒu Tiªn bÞ chia 2 miÒn Nam B¾c t¹i vÜ tuyÕn sè bao nhiªu?	38	27	28	37
614	A	Ai lµ t¸c gi¶ bµi h¸t "Trªn ®Ønh Phï V©n"?	Phã §øc Ph­¬ng	Hoµng V©n	Phan Huúnh §iÓu	TrÞnh C«ng S¬n
615	A	Muèn ®Õn th¨m di tÝch lÞch sö Dinh Hä V­¬ng, b¹n ph¶i ®Õn ®Þa danh nµo?	Hµ Giang	Phó Thä	Thanh Hãa	NghÖ An
616	A	§¹i héi thÓ thao c¸c n­íc ch©u ¸ cã tªn lµ g×?	Asiad	Asian cup	Seagame	Asian game
617	A	ë §«ng Nam ¸ hiÖn nay, cã bao nhiªu quèc gia cßn cã vua trÞ v×?	3	1	2	4
618	A	ë Th¸i B×nh cã lÔ héi g× sau ®©y?	Héi Chïa Keo	Héi YÕt Kiªu	Héi §×nh B¶ng	Héi Chïa ThÇy
619	A	Sa m¹c Gobi thuéc quèc gia nµo?	M«ng Cæ	Mü	Chile	Trung Quèc
620	A	Th¸ng 3 cã bao nhiªu ngµy?	31	28	29	30
621	A	Tªn gäi cña nguyªn tè Clo (Cl) cã nghÜa lµ g×?	Vµng lôc	X¸m	Xanh l¸	§á tÝa
622	A	Bé phim "C¸nh ®ång hoang" dùa trªn t¸c phÈm cña nhµ v¨n nµo?	Quang S¸ng	Nam Cao	Hång Ph¸t	Th¹ch Lam
623	A	Maradona ®· ®o¹t chøc v« ®Þch quèc gia Italia 1987 víi c©u l¹c bé nµo?	Napoli	AC Milan	AS Roma	Juventus
624	A	Khu l¨ng mé cña vÞ hoµng ®Õ Trung Quèc ®Çu tiªn n»m ë t×nh nµo?	ThiÓm T©y	Giang Nam	ChiÕt Giang	S¬n §«ng
625	A	Ai lµ ng­êi ®Çu tiªn ®­a ra c«ng thøc cña bµi to¸n c¬ häc? 	Acsimet	Galile	Newton	Pascal
626	A	Chïa D¬i thuéc tØnh nµo cña n­íc ta? 	Sãc Tr¨ng	Cµ Mau	B¹c Liªu	Kiªn Giang
627	A	Tê b¸o ®Çu tiªn cña C¸ch m¹ng Nga lµ g×?	Tia Löa	D©n téc	Cïng khæ	Bóa liÒm
628	A	§¬n vÞ tÝnh ®é ph©n gi¶i mµn h×nh lµ g×?	Pixel	Bit	Mgbs	Inch
629	A	§éi tuyÓn nµo v« ®Þch gi¶i bãng ®¸ n÷ ViÖt Nam 2006?	Hµ T©y	B¾c Giang	Hµ Néi	TP.HCM
630	A	Napoleon ®· bÞ trôc xuÊt vµ sèng nh÷ng ngµy cuèi ®êi t¹i hßn ®¶o nµo?	Saint Helen	Madagasca	Hawaii	Java
631	A	§¬n vÞ tiÒn tÖ cña Thôy §iÓn lµ g×?	Krone	Euro	Schilling	Zloty
632	A	Hãa th¹ch t«m ba l¸ t×m thÊy ®­îc ë kû nµo? 	Kû Cambri	Kû Xilua	Kû Xilua	Kû Than ®¸
633	A	Bµi th¬ nµo sau ®©y kh«ng ph¶i lµ cña n÷ thi sÜ Hå Xu©n H­¬ng?	H¸t ru	M¾ng häc trß dèt	B¸nh tr«i n­íc	§¸nh ®u
634	A	Ai lµ ng­êi thùc hiÖn ph¶n øng h¹t nh©n ®Çu tiªn?	Rutherford	Davy	Marie Curie	Faraday
635	A	S«ng Danuyp ®æ ra BiÓn §en t¹i Quèc Gia nµo?	Rumania	Bulgaria	Hungaria	Gruzia
636	A	C©u l¹c bé nµo cã nhiÒu cÇu thñ ®o¹t Qu¶ Bãng Vµng ch©u ¢u nhÊt?	Juventus	AC Milan	Inter Milan	Real Madrid
637	A	C¬ quan n¨ng l­îng nguyªn tö quèc tÕ viÕt t¾t lµ g×?	IAEA	FAO	NASA	IMF
638	A	WLAN lµ viÕt t¾t cña hÖ thèng m¹ng nµo?	M¹ng kh«ng d©y	M¹ng ®iÖn tho¹i	M¹ng Internet	M¹ng ATM
639	A	Ng­êi ch©u ¸ ®Çu tiªn bay vµo vò trô?	Lôc Thiªn B¶o	Komamoto	Ph¹m Tu©n	Tahamat
640	A	Gi¸ trÞ cùc ®¹i cña li ®é trong dao ®éng ®­îc gäi lµ g×?	Biªn ®é	C­êng ®é	Tèc ®é	Cùc ®é
641	A	S«ng Linh Giang hay Thanh Hµ lµ tªn gäi kh¸c cña dßng s«ng nµo?	S«ng Gianh	S«ng NhËt LÖ	S«ng H­¬ng	S«ng Hång
642	A	Thµnh phè nµo cña ViÖt Nam tr­íc ®©y tõng cã tªn lµ Tèng B×nh? 	Hµ Néi	TP. HCM	§µ N½ng	HuÕ
643	A	§¬n vÞ tån t¹i cña loµi trong thiªn nhiªn lµ g×? 	QuÇn thÓ	C¸ thÓ	QuÇn x·	HÖ sinh th¸i
644	A	Trong 5 gi¸c quan l­ìi thuéc gi¸c quan nµo?	VÞ gi¸c	Khøu gi¸c	ThÝnh gi¸c	ThÞ gi¸c
645	A	Nguyªn tè Cacbon cã bao nhiªu electron?	6 electron	10 electron	12 electron	2 electron
646	A	Tãc n©u m«i trÇm lµ tªn mét ca khóc g¾n liÒn víi ca sÜ tr×nh bµy nµo?	Mü T©m	Quang Dòng	Hång Nhung	§an Tr­êng
647	A	Hå n­íc næi tiÕng ë Hµ Néi tªn g×?	Hå Hoµn KiÕm	Hå Xu©n H­¬ng	Hå Ba BÓ	Hå Than Thë
648	A	VÞ vua cuèi cïng cña triÒu ®¹i Phong KiÕn ViÖt Nam lµ?	B¶o §¹i	Kh¶i §Þnh	Gia Long	Cµn Long
649	A	QuÇn ¸o cì lín nhÊt th­êng ®­îc ký hiÕu nh­ thÕ nµo?	XXM	XXS	L	S
650	A	Lo¹i h×nh v¨n nghÖ nµo mµ ng­êi b×nh d©n Nam bé rÊt ­a thÝch?	C¶i l­¬ng	H¸t chÌo	H¸t béi	Hß Qu¶ng
651	A	Ngµy sinh cña chñ tÞch Hå ChÝ Minh?	19-05-1890	19-05-1980	19-08-1890	30-04-1930
652	A	Trong c¸c loµi chim d­íi ®©y loµi nµo th­êng hay ¨n thÞt?	Kªn kªn	S¸o sËu	ChÝch chße	Gâ kiÕn
653	A	VËt thÓ trong m¸u gåm cã : B¹ch CÇu, TiÓu CÇu vµ?	Hång CÇu	§¹i CÇu	H¾c CÇu	Trung CÇu
654	A	Trong c¸c tõ sau ®©y, tõ nµo kh«ng dïng ®Ó chØ r©u?	Tr¸i xoan	Dª	Quai nãn	C¸ chèt
655	A	N¨m 938, Ng« QuyÒn ®¸nh tan qu©n?	Nam h¸n	Ch¨m pa	Nguyªn	M«ng cæ
656	A	Con s«ng ch¶y qua thµnh phè HuÕ lµ s«ng g×?	S«ng H­¬ng	S«ng T« LÞch	S«ng §ång Nai	S«ng Mª k«ng
657	A	Con s«ng chÝnh ë Ai CËp tªn g×?	Nil	Danube	Amazone	Tigris
658	A	Ngän nói cao nhÊt n­íc ta tªn g×?	Fansipan	Hoµnh S¬n	Ngäc Linh	Tr­êng S¬n
659	A	Con s«ng dµi nhÊt Nam Mü tªn g×?	Amazone	Indus	Missisippi	Nil
660	A	Trong lóc ®iÒu trÞ bÖnh sèt xuÊt huyÕt b¸c sÜ th­êng khuyªn ng­êi bÖnh uèng n­íc g×?	N­íc chanh	Trµ	Cµ phª	Ca cao
661	A	Trong c¸c loµi d­íi ®©y, con nµo kh«ng thuéc loµi bß s¸t?	èc b­¬u	Khñng long	R¾n	C¸ sÊu
662	A	Christopher Columbus kh¸m ph¸ ra ch©u Mü n¨m nµo?	1492	938	983	1324
663	A	M«n thÓ thao nµo sau ®©y kh«ng cã vÞ trÝ thñ m«n?	Bãng bÇu dôc	Khóc kh«n cÇu	Bãng ®¸	Bãng nÐm
664	A	Vïng nµo lµ vïng trång d©u nu«i t»m c«ng nghiÖp lín nhÊt n­íc ta?	T©y nguyªn	§ång b»ng s«ng Hång	§ång b»ng s«ng Cöu Long	Duyªn h¶i miÒn Trung
665	A	Lo¹i nµo sau ®©y khi n¶y mÇm sÏ sinh ®éc tè?	Khoai t©y	§Ëu xanh	§Ëu nµnh	Khoai lang
666	A	§ång tiÒn ®Çu tiªn trong lÞch sö n­íc ta ®­îc ®óc vµo d­êi thêi nµo?	Nhµ §inh	Nhµ TrÇn	Nhµ hËu Lª	Nhµ NguyÔn
667	A	Con g× kh«ng thuéc loµi c¸ mµ thuéc loµi bß s¸t?	C¸ sÊu	C¸ tai t­¬ng	C¸ heo	C¸ lãc
668	A	B¶ng ch÷ c¸i tiÕng viÖt cã bao nhiªu nguyªn ©m?	12 nguyªn ©m	6 nguyªn ©m	10 nguyªn ©m	17 nguyªn ©m
669	A	Tªn mét vÞ thÇn t×nh yªu trong thÇn tho¹i Hy L¹p lµ?	Cupid	Venus	Argon	Herong
670	A	TrËn §iÖn Biªn Phñ trªn kh«ng diÔn ra bao nhiªu ngµy ®ªm?	12	11	13	14
671	A	Chïa "Mét cét" ®ù¬c x©y dùng vµo thêi nµo?	Thêi Lý	Thêi Lª	Thêi TrÇn	Thêi NguyÔn
672	A	B¶n tuyªn ng«n ®éc lËp thø 2 do ai so¹n th¶o?	NguyÔn Tr·i	TrÇn H­ng §¹o	NguyÔn KhuyÕn	TrÇn Quèc To¶n
673	A	Lµng B¸t Trµng ë miÒn B¾c næi tiÕng vÒ nghÒ truyÒn thèng nµo?	Lµm ®å gèm	DÖt v¶i	§óc ®ång	Tranh s¬n mµi
674	A	Hå BiÓu Ch¸nh lµ t¸c gi¶ cña t¸c phÈm nµo d­íi ®©y?	Ngän cá giã ®ïa	N¾ng trong v­ên	S«ng C«n mïa lò	L·o h¹c
675	A	ChÊt liÖu nµo sau ®©y ®­îc dïng ®Ó may quÇn ¸o Jeans cæ ®iÓn?	V¶i §ªmim	V¶i Katª	V¶i Sil	V¶i Kaki
676	A	C¸c lo¹i b¸nh d­íi ®©y cã mét lo¹i kh«ng lµ b¸nh n­íng?	B¸nh tiªu	B¸nh thuÈn	B¸nh b«ng lan	B¸nh kÑp
677	A	Hµnh tinh to nhÊt trong HÖ MÆt Trêi lµ hµnh tinh nµo?	Sao Méc	Sao Thiªn V­¬ng	Sao Chæi	Sao Thæ
678	A	Ban nh¹c næi tiÕng ThÕ giíi nµo sau ®©y ®· tõng ®Õn ViÖt Nam tr×nh diÔn?	Boney M	ABBA	Backstreet boy	MTV
679	A	Nh©n vËt n÷ nµo sau ®©y trong v¨n häc n­íc ta lµ nh©n vËt h­ cÊu?	ChÞ DËu	ChÞ ót tÞch	ChÞ T­ hËu	ChÞ Quyªn
680	A	Khi tan vì Liªn bang X« ViÕt cã bao nhiªu n­íc thµnh viªn?	15 n­íc thµnh viªn	8 n­íc thµnh viªn	10 n­íc thµnh viªn	16 n­íc thµnh viªn
681	A	Cleopatre lµ n÷ hoµng n­íc nµo?	Ai cËp	Hi l¹p	La m·	Do th¸i
682	A	Nam diÔn viªn ®ãng vai chÝnh trong phim LÊy vî Sµi Gßn lµ ai?	Nguyªn Vò	Quang Dòng	Lam Tr­êng	§an Tr­êng
683	A	§iÓm ph¹t ®Òn trong m«n bãng nÐm c¸ch khung thµnh bao nhiªu mÐt?	6 mÐt	10 mÐt	11 mÐt	16.5 mÐt
684	A	Con Õch ®­îc ngµnh vËt lý nµo sau ®©y sö dông lµm vËt thÝ nghiÖm ®Çu tiªn?	§iÖn häc	¢m häc	Quang häc	NhiÖt häc
685	A	Lo¹i r­îu næi tiÕng cña Bå §µo Nha tªn g×?	Porto	Sake	Vodka	Bå ®µo mü töu
686	A	Khu kinh tÕ më Chu Lai thuéc ®Þa bµn cña tØnh nµo n­íc ta?	Qu¶ng Nam	Phó Yªn	B×nh d­¬ng	§ång Nai
687	A	Khi trêi m­a trong n­íc m­a cã chÊt g× lµm cho s¾t chãng rØ sÐt?	Acid Nitric	Acid Oleic	Acid Oxalic	Acid Glutamic
688	A	Bµi th¬ R¾n ®Çu biÕng häc do ai s¸ng t¸c?	Lª Quý §«n	M¹c §Ünh Chi	Tr¹ng Quúnh	Th»ng Bêm
689	A	T¸c phÈm ®iªu kh¾c nµo sau ®©y trë thµnh mét trong nh÷ng biÓu t­îng cña Ai CËp?	T­îng Nh©n S­	T­îng thÇn Venus	T­îng thÇn Zeus	T­îng Cleopatre
690	A	Khñng long xuÊy hiÖn vµo kû nguyªn nµo?	Permain	Jurassic	Cretasious	Cambrian
691	A	Bøc häa La Joncode do ai vÏ?	Leonard de Vinci	Picasso	Vang go	Mozart
